user	instance_id	displayed_text	how-certain-is-the-finding:::Certain	how-certain-is-the-finding:::Somewhat uncertain	how-certain-is-the-finding:::Somewhat certain	how-certain-is-the-finding:::Uncertain	I carefully went over the examples and the instructions.:::Yes	How satisfied do you feel about your experience participating in our study?:::scale_4	How satisfied do you feel about your experience participating in our study?:::scale_3	How satisfied do you feel about your experience participating in our study?:::scale_2	How satisfied do you feel about your experience participating in our study?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_1	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_4	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	How confident are you that you performed well in the task?:::scale_1	How confident are you that you performed well in the task?:::scale_5	How confident are you that you performed well in the task?:::scale_4	How confident are you that you performed well in the task?:::scale_3	How confident are you that you performed well in the task?:::scale_2	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	Please feel free to leave any comments about our study (optional):::text_box	span_annotation:::Words indicating uncertainty	span_annotation:::Words indicating certainty
653fcb1b0f5d689c00a97629	Biology_220_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Individuals with ASD carried more of these CNVs than individuals in the control group, and some of them were inherited while others were only present in offspring with ASD. By further aggregating CNVs and SNVs (the latter identified in other studies), Mount Sinai researchers discovered many additional genes and pathways involved in ASD. ""We hope that these new findings will help group individuals with ASD based upon their genetic causes and lead to earlier diagnosis, and smarter, more focused therapies and interventions for autism spectrum disorders,"" said first author Dalila Pinto, PhD, Assistant Professor of Psychiatry, and Genetics and Genomic Sciences at the Icahn School of Medicine at Mount Sinai.""><b>Finding:</b></span> By further aggregating CNVs and SNVs (the latter identified in other studies), Mount Sinai researchers discovered many additional genes and pathways involved in ASD."			3																					[]	[{'start': 1104, 'end': 1138, 'span': 'Mount Sinai researchers discovered', 'annotation': 'Words indicating certainty'}]
653fcb1b0f5d689c00a97629	Biology_181_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""The forests of carbon nanotubes can transfer ink onto a surface like massive numbers of tiny pen quills."" The key to printing tiny, precise, high-resolution patterns is in the amount of pressure applied to stamp the ink. ""We found, limited by the motor we used in the printing system, we could print at 200 millimeters per second, continuously, which is already competitive with the rates of industrial printing technologies.""><b>Finding:</b></span> The key to printing tiny, precise, high-resolution patterns is in the amount of pressure applied to stamp the ink."	4																							[]	[{'start': 711, 'end': 715, 'span': ' key', 'annotation': 'Words indicating certainty'}]
653fcb1b0f5d689c00a97629	test_question_testing_Uncertain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Uncertain. Do not mark any words or phrases.				1																				[{'start': 63, 'end': 71, 'span': 'suggests', 'annotation': 'Words indicating uncertainty'}]	[]
653fcb1b0f5d689c00a97629	Consent.html	Consent																				I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes		[]	[]
653fcb1b0f5d689c00a97629	Biology_117_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We found that the indoor climates of our study homes largely matched the TNZ of humans and other primates. Overall, we identified the geographical distribution of the global outdoor climate that is most similar to the interiors of our study homes and summarized study home indoor climate preferences. It would be difficult to convincingly argue that the behaviours leading to the construction of human houses are under direct selection.""><b>Finding:</b></span> Overall, we identified the geographical distribution of the global outdoor climate that is most similar to the interiors of our study homes and summarized study home indoor climate preferences."	4																							[]	[{'start': 619, 'end': 642, 'span': 'Overall, we identified ', 'annotation': 'Words indicating certainty'}]
653fcb1b0f5d689c00a97629	Biology_35_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Furthermore, TEM analysis confirmed the stemness of EC-MSCs and identified some cells with a typical neuronal morphology. CONCLUSIONS:

Our findings raise the prospect that the tissues harvested from equine ligaments up to 72 hours of post-mortem represent an available reservoir of specific stem cells. EC-MSCs could be a promising alternative source for tissue engineering and stem cell therapy in equine medicine.""><b>Finding:</b></span> CONCLUSIONS:

Our findings raise the prospect that the tissues harvested from equine ligaments up to 72 hours of post-mortem represent an available reservoir of specific stem cells."			3																					[]	[{'start': 616, 'end': 648, 'span': 'Our findings raise the prospect ', 'annotation': 'Words indicating certainty'}, {'start': 727, 'end': 783, 'span': 'represent an available reservoir of specific stem cells.', 'annotation': 'Words indicating certainty'}]
653fcb1b0f5d689c00a97629	Biology_485_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In particular, hundreds of key immune genes are bimodally expressed across cells, surprisingly even for genes that are very highly expressed at the population average. Moreover, splicing patterns demonstrate previously unobserved levels of heterogeneity between cells. Some of the observed bimodality can be attributed to closely related, yet distinct, known maturity states of BMDCs; other portions reflect differences in the usage of key regulatory circuits.""><b>Finding:</b></span> Moreover, splicing patterns demonstrate previously unobserved levels of heterogeneity between cells."			3																					[]	[{'start': 653, 'end': 743, 'span': 'splicing patterns demonstrate previously unobserved levels of heterogeneity between cells.', 'annotation': 'Words indicating certainty'}]
600916bb92179b5ecc406460	Biology_83_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The researchers found that study plots with lianas accumulated 76 percent less biomass over the experimental period due to reduced tree growth and increased tree death. Extrapolating their results to tropical forests as a whole, the team calculated that lianas could potentially reduce long-term storage of carbon in tropical forests by one-third or more. The study will be useful in guiding scientists working to predict the trajectory of carbon storage as atmospheric concentrations rise, and it may help explain recent observations that the carbon storage capacity of tropical forests is declining.""><b>Finding:</b></span> Extrapolating their results to tropical forests as a whole, the team calculated that lianas could potentially reduce long-term storage of carbon in tropical forests by one-third or more."		2																						[{'start': 875, 'end': 892, 'span': 'could potentially', 'annotation': 'Words indicating uncertainty'}]	[]
600916bb92179b5ecc406460	test_question_testing_Somewhat uncertain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Somewhat uncertain. Do not mark any words or phrases.		2																						[]	[]
600916bb92179b5ecc406460	Certainty Examples.html	Certainty Examples					I carefully went over the examples and the instructions.:::Yes																			[]	[]
600916bb92179b5ecc406460	Biology_tweet_74_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The best available evidence: ""We argue that this study speaks to the key question of whether adolescents’ violent video game play has a measurable effect on real-world aggressive behaviour  On the basis of our evidence, the answer is no.""  ""><b>Finding:</b></span> The best available evidence: ""We argue that this study speaks to the key question of whether adolescents’ violent video game play has a measurable effect on real-world aggressive behaviour  On the basis of our evidence, the answer is no.""  "	4																							[]	[{'start': 723, 'end': 739, 'span': 'the answer is no', 'annotation': 'Words indicating certainty'}]
600916bb92179b5ecc406460	Biology_tweet_23_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Well, this is fascinating. Climate control allows us to create temp and moisture conditions we feel most comfortable in. So what climate do most Americans ""recreate"" in their homes? Western Kenya!    ""><b>Finding:</b></span> Well, this is fascinating. Climate control allows us to create temp and moisture conditions we feel most comfortable in. So what climate do most Americans ""recreate"" in their homes? Western Kenya!    "	4																							[]	[{'start': 447, 'end': 452, 'span': 'ows u', 'annotation': 'Words indicating certainty'}]
600916bb92179b5ecc406460	Biology_tweet_16_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: 'Salt on Our Skin' Cutaneous Na Storage Strengthens the Antimicrobial Barrier Function &amp;  Boosts Macrophage-driven.. ""><b>Finding:</b></span> 'Salt on Our Skin' Cutaneous Na Storage Strengthens the Antimicrobial Barrier Function &amp;  Boosts Macrophage-driven.. "	4																							[]	[{'start': 381, 'end': 403, 'span': 'Function &amp;  Boosts', 'annotation': 'Words indicating certainty'}]
600916bb92179b5ecc406460	Experience.html	Experience							3							2					2					[]	[]
600916bb92179b5ecc406460	Biology_tweet_62_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Whey protein significantly increased the postprandial early insulin release. Plasma insulin levels at the first 30 min were higher and increased more rapidly after whey pre-load (Fig. Over the late interval, AUC 60-120 min , and during the complete post-meal period (0-180 min), plasma insulin levels were also significantly higher after whey preload than after placebo (Fig.""><b>Finding:</b></span> Plasma insulin levels at the first 30 min were higher and increased more rapidly after whey pre-load (Fig."	4																							[]	[{'start': 600, 'end': 625, 'span': 'were higher and increased', 'annotation': 'Words indicating certainty'}]
600916bb92179b5ecc406460	Biology_249_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Co-author Dr Palmer said: ""Our research has shown that non-native plants are less widespread than native species, and are not increasing any more than native plants. It therefore seems likely that factors other than plant invasions are the main causes of vegetation change."" The study found that locations with high diversity of non-native species also support high diversity of native species, suggesting that high diversities of native and non-native plant species are compatible with one another.""><b>Finding:</b></span> It therefore seems likely that factors other than plant invasions are the main causes of vegetation change."""		2																						[{'start': 691, 'end': 703, 'span': 'seems likely', 'annotation': 'Words indicating uncertainty'}]	[]
600916bb92179b5ecc406460	test_question_testing_Certain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Certain. Do not mark any words or phrases.	4																							[]	[]
600916bb92179b5ecc406460	Biology_tweet_16_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This high-salt response resulted in elevated type-2 nitric oxide synthase (Nos2)-dependent NO production and improved Leishmania major control. Finally, we found that increasing Na + content in the skin by a high-salt diet boosted activation of macrophages in a Nfat5-dependent manner and promoted cutaneous antimicrobial defense. We suggest that the hypertonic microenvironment could serve as a barrier to infection.""><b>Finding:</b></span> Finally, we found that increasing Na + content in the skin by a high-salt diet boosted activation of macrophages in a Nfat5-dependent manner and promoted cutaneous antimicrobial defense."	4																							[]	[{'start': 679, 'end': 697, 'span': 'boosted activation', 'annotation': 'Words indicating certainty'}]
600916bb92179b5ecc406460	Biology_83_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Long-term Submission PDF biomass carbon storage may be further reduced if increasing liana biomass intensifies liana-tree competition and/or increases the proportion of trees that are competing with lianas. Likewise, a potential liana-driven shift in tree species composition may also alter long-term biomass carbon storage if the presence of lianas leads to an increase in fast-growing trees with low wood densities, as is predicted . Nevertheless, our simulation provides an initial conservative estimate of the potential long-term effect of lianas on forest-level carbon stocks.""><b>Finding:</b></span> Likewise, a potential liana-driven shift in tree species composition may also alter long-term biomass carbon storage if the presence of lianas leads to an increase in fast-growing trees with low wood densities, as is predicted ."		2																						[{'start': 833, 'end': 836, 'span': 'may', 'annotation': 'Words indicating uncertainty'}]	[]
600916bb92179b5ecc406460	Biology_249_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: First, non-native plant species that were established in the past should be continuing to increase more than native species. In contrast, if cover changes of native species are larger than those of the non-natives, it implies that other environmental drivers feature more strongly than biological invasions in altering the composition of communities. although individual non-native species may fail to cause exclusion, this may be achieved through an increasing diversity of aliens, leading to the prediction that changes in native diversity will be negatively correlated with changes in the number of non-native species.""><b>Finding:</b></span> In contrast, if cover changes of native species are larger than those of the non-natives, it implies that other environmental drivers feature more strongly than biological invasions in altering the composition of communities."			3																					[]	[{'start': 894, 'end': 904, 'span': 'it implies', 'annotation': 'Words indicating certainty'}]
600916bb92179b5ecc406460	Consent.html	Consent																				I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes		[]	[]
600916bb92179b5ecc406460	Biology_tweet_74_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Results did not support this prediction, nor did they support the idea that the relationship between these factors follows a nonlinear parabolic function. There was no evidence for a critical tipping point relating violent game engagement to aggressive behaviour. Sensitivity and exploratory analyses indicated these null effects extended across multiple operationalizations of violent game engagement and when the focus was on another behavioural outcome, namely, prosocial behaviour.""><b>Finding:</b></span> There was no evidence for a critical tipping point relating violent game engagement to aggressive behaviour."			3																					[]	[{'start': 677, 'end': 689, 'span': ' no evidence', 'annotation': 'Words indicating certainty'}]
600916bb92179b5ecc406460	Biology_tweet_23_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The value distributions of the climate variables used in the climate dissimilarity index can be viewed in figure 1. North American homes were most similar in climate to the outdoor conditions of west central Kenya (C ¼ 2.938). The mean maximum temperature (average of all seasons) in the North American homes was 25.358C compared with 25.068C for the conditions outdoors in west central Kenya.""><b>Finding:</b></span> North American homes were most similar in climate to the outdoor conditions of west central Kenya (C ¼ 2.938)."			3																					[]	[{'start': 602, 'end': 614, 'span': 'most similar', 'annotation': 'Words indicating certainty'}]
600916bb92179b5ecc406460	Biology_tweet_62_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Study: Whey protein may have a role in reducing postprandial blood glucose levels in diabetes patients. ""><b>Finding:</b></span> Study: Whey protein may have a role in reducing postprandial blood glucose levels in diabetes patients. "		2																						[{'start': 306, 'end': 309, 'span': 'may', 'annotation': 'Words indicating uncertainty'}]	[]
60e3a249506a9e248218770f	Biology_99_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: My own opinion is a target level of 30-50 ng/mL is reasonable. BF: I would like to emphasize that the questions we are looking at regarding vitamin D deficiency is distinct from the question of if extra vitamin D is beneficial. Our data indicate that avoiding deficiency is likely a good thing but it does not necessarily follow that extra vitamin D is even better.""><b>Finding:</b></span> BF: I would like to emphasize that the questions we are looking at regarding vitamin D deficiency is distinct from the question of if extra vitamin D is beneficial."	4																							[]	[{'start': 567, 'end': 576, 'span': 'emphasize', 'annotation': 'Words indicating certainty'}, {'start': 699, 'end': 707, 'span': 'distinct', 'annotation': 'Words indicating certainty'}]
60e3a249506a9e248218770f	test_question_testing_Somewhat uncertain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Somewhat uncertain. Do not mark any words or phrases.		2																						[]	[]
60e3a249506a9e248218770f	Certainty Examples.html	Certainty Examples					I carefully went over the examples and the instructions.:::Yes																			[]	[]
60e3a249506a9e248218770f	Biology_97_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We found that the primary drivers of the impact of HREs on mosquito-borne infectious disease include the timing of those events relative to the transmission season, and the proportion of the population displaced during an HRE event. The risk of outbreaks is highest if an HRE occurs early in the transmission season, and lowest if it occurs late in the season. For instance, the cumulative number of cases decreases by 70% for the scenario with an HRE occurring on 1 July relative to the scenario with an HRE occurring on 1 June in the absence of population displacement.""><b>Finding:</b></span> The risk of outbreaks is highest if an HRE occurs early in the transmission season, and lowest if it occurs late in the season."	4																							[]	[]
60e3a249506a9e248218770f	Biology_tweet_96_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Going from 2 X's to 1: Mammalian X inactivation relies on stepwise folding of #chromosome compartments aided by SMCHD1  @username @username @username ""><b>Finding:</b></span> Going from 2 X's to 1: Mammalian X inactivation relies on stepwise folding of #chromosome compartments aided by SMCHD1  @username @username @username "			3																					[]	[{'start': 380, 'end': 389, 'span': 'relies on', 'annotation': 'Words indicating certainty'}]
60e3a249506a9e248218770f	Biology_tweet_110_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Typical directional selection can increase phenotypic evolutionary rates by orders of magnitude over short timescales , and even conserved genomic regions can exhibit 10-fold differences in evolutionary rates in living sister lineages . While this study examined only arthropods, the patterns found here may be general across other metazoan groups, though broader taxonomic studies are required. Clades characterized by major phenotypic innovations often exhibit higher rates of evolution initially (e.g., [42]); if this pattern characterized most metazoan phyla, rates in the Cambrian would be uniformly elevated .""><b>Finding:</b></span> Clades characterized by major phenotypic innovations often exhibit higher rates of evolution initially (e.g., [42]); if this pattern characterized most metazoan phyla, rates in the Cambrian would be uniformly elevated ."		2																						[{'start': 851, 'end': 856, 'span': 'often', 'annotation': 'Words indicating uncertainty'}]	[]
60e3a249506a9e248218770f	Experience.html	Experience						4							3				4							[]	[]
60e3a249506a9e248218770f	Biology_tweet_133_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Consequently, detailed hazard maps and geospatial data-based computations, such as those presented here, are of importance to enable planners and policymakers to identify both high-and low hazard areas when planning future infrastructure at urban and settlement scales 33 . Moreover, we were able to quantify and show the magnitude of infrastructure at risk across the circumpolar permafrost domain. The major advantage of the approach presented here is that hazard quantification can be conducted with any available infrastructure or population dataset (also using planned infrastructure and future population if suitable high-quality datasets and projections are available) and for any policy-relevant global warming scenario.""><b>Finding:</b></span> Moreover, we were able to quantify and show the magnitude of infrastructure at risk across the circumpolar permafrost domain."	4																							[]	[{'start': 937, 'end': 954, 'span': 'quantify and show', 'annotation': 'Words indicating certainty'}]
60e3a249506a9e248218770f	Biology_tweet_55_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: #humanmicrobiome David Mills- more bifidobacteria less glycans in baby's poop ""><b>Finding:</b></span> #humanmicrobiome David Mills- more bifidobacteria less glycans in baby's poop "		2																						[]	[]
60e3a249506a9e248218770f	test_question_testing_Certain	<b>Reported Finding:</b> New study suggests that sunscreen could prevent skin damage. This is a test question, please select Certain. Do not mark any words or phrases.	4																							[]	[]
60e3a249506a9e248218770f	Biology_tweet_55_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Much of the bifidobacterial abundance difference between the two secretor status milk phenotypes appears to come from variation in the time at which each infant transitions from possessing a Low-Bif qPCR ' gut community to possessing a High-Bif qPCR gut community. Bifidobacteria were found to be established (High-Bif qPCR ) earlier in secretorfed infants (60% of infants versus 37.5% at day 6) and more often (80% versus 50% by day 120) ( Figure 5 ). Of 35 milks from non-secretors, 20 of the matched infant stool samples were Low-Bif qPCR (57.1%).""><b>Finding:</b></span> Bifidobacteria were found to be established (High-Bif qPCR ) earlier in secretorfed infants (60% of infants versus 37.5% at day 6) and more often (80% versus 50% by day 120) ( Figure 5 )."	4																							[]	[{'start': 748, 'end': 758, 'span': 'were found', 'annotation': 'Words indicating certainty'}, {'start': 799, 'end': 809, 'span': 'were found', 'annotation': 'Words indicating certainty'}]
60e3a249506a9e248218770f	Biology_99_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: (Endocrinology 157: 0000 -0000, 2016) However, treatment with high-dose vitamin D likely has pharmacological effects that are distinct from the pathophysiology of vitamin D deficiency. Provocatively, low vitamin D levels are associated with worse prognostic indicators and outcomes in patients with BCa (9 -11) .""><b>Finding:</b></span> However, treatment with high-dose vitamin D likely has pharmacological effects that are distinct from the pathophysiology of vitamin D deficiency."			3																					[]	[{'start': 546, 'end': 549, 'span': 'has', 'annotation': 'Words indicating certainty'}]
60e3a249506a9e248218770f	Biology_tweet_133_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Our brand new research highlights the risks of #permafrost thaw on #Arctic #infrastucture  I'll present the permafrost #modeling and #geohazard assessments tomorrow morning in #AGU18 at session GC31B. @username
@username
@username""><b>Finding:</b></span> Our brand new research highlights the risks of #permafrost thaw on #Arctic #infrastucture  I'll present the permafrost #modeling and #geohazard assessments tomorrow morning in #AGU18 at session GC31B. @username
@username
@username"	4																							[]	[{'start': 437, 'end': 447, 'span': 'highlights', 'annotation': 'Words indicating certainty'}]
