user	instance_id	displayed_text	I carefully went over the examples and the instructions.:::Yes	how-causal-is-the-finding:::Causation	how-causal-is-the-finding:::Correlation	how-causal-is-the-finding:::No mention of a relation	how-causal-is-the-finding:::Explicitly states: no relation	I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes	How satisfied do you feel about your experience participating in our study?:::scale_4	How satisfied do you feel about your experience participating in our study?:::scale_3	How satisfied do you feel about your experience participating in our study?:::scale_2	How satisfied do you feel about your experience participating in our study?:::scale_5	How satisfied do you feel about your experience participating in our study?:::scale_1	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_4	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_3	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_2	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_5	Compared to other studies you've participated in, how do you rate the difficulty of this task?:::scale_1	How confident are you that you performed well in the task?:::scale_4	How confident are you that you performed well in the task?:::scale_3	How confident are you that you performed well in the task?:::scale_2	How confident are you that you performed well in the task?:::scale_5	How confident are you that you performed well in the task?:::scale_1	Please feel free to leave any comments about our study (optional):::text_box	span_annotation:::Correlation	span_annotation:::Causation	span_annotation:::Explicit mentions of no relation
64ef3dcb4bec07c765c8ab70	Biology_77_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Critically, we show that knockdown of Sik1 within the SCN results in extended light-induced phase shifts and an enhanced rate of re-entrainment to an advanced LD cycle. As SIK1 acts to suppress the effects of light on the clock, this pathway provides a pharmacological target for the treatment of disturbed circadian rhythms, including jet lag, shift-work, and illnesses that disturb circadian timing. Surprisingly, the majority (81%, 436 genes) of transcripts were downregulated in response to light, with a smaller number of genes showing upregulation (19%, 100 genes).""><b>Finding:</b></span> As SIK1 acts to suppress the effects of light on the clock, this pathway provides a pharmacological target for the treatment of disturbed circadian rhythms, including jet lag, shift-work, and illnesses that disturb circadian timing."		3																							[]	[{'start': 770, 'end': 790, 'span': 'suppress the effects', 'annotation': 'Causation'}]	[]
64ef3dcb4bec07c765c8ab70	Biology_230_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: CIN-1 S bed bugs are highly resistant to deltamethrin, with a high topical dose leading to no mortality. The P450s or Abc8 and Abc9 knockdown in pyrethroid resistant CIN-1 S bed bugs showed a consistent increase in their susceptibility to bcyfluthrin compared with control bed bugs injected with malE dsRNA (Fig. In contrast, there was no significant difference in the susceptibility to b-cyfluthrin between cuticular proteins knockdown and control bed bugs (Fig.""><b>Finding:</b></span> The P450s or Abc8 and Abc9 knockdown in pyrethroid resistant CIN-1 S bed bugs showed a consistent increase in their susceptibility to bcyfluthrin compared with control bed bugs injected with malE dsRNA (Fig."		3																							[]	[{'start': 724, 'end': 752, 'span': 'showed a consistent increase', 'annotation': 'Causation'}]	[]
64ef3dcb4bec07c765c8ab70	Biology_230_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Sometimes, in the face of chemical and genetic trickery, brute force turns out to work best. SOURCE: Zhu et al. ""Bed bugs evolved unique adaptive strategy to resist pyrethroid insecticides.""""><b>Finding:</b></span> ""Bed bugs evolved unique adaptive strategy to resist pyrethroid insecticides."""			2																						[{'start': 446, 'end': 455, 'span': 'to resist', 'annotation': 'Correlation'}]	[]	[]
64ef3dcb4bec07c765c8ab70	Biology_108_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We found that ICV-administered ASO phenocopies adult-onset SMA. SMN2 mis-splicing was exacerbated during late-stage disease, which should accelerate the decline. In addition, systemically administered exon-skipping ASO also affected survival, resulting in striking liver and heart lesions, and the combination of central and peripheral administration exacerbated the pathology.""><b>Finding:</b></span> SMN2 mis-splicing was exacerbated during late-stage disease, which should accelerate the decline."			2																						[{'start': 626, 'end': 644, 'span': ' should accelerate', 'annotation': 'Correlation'}]	[]	[]
5eaf1c50f3540c614eb973a5	Experience.html	Experience									4							2					2				[]	[]	[]
5eaf1c50f3540c614eb973a5	Biology_55_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: larger) to findings present in the existing literature , and in line with proposed minimum practical media effect sizes [72] . The semi-partial effect relating violent gaming to aggressive behaviour was r ¼ 0.01. Further, we derived a 95% coincidence interval around this point estimate that ranged from 20.08 to 0.10 using a bootstrapping approach with 10 000 iterations.""><b>Finding:</b></span> The semi-partial effect relating violent gaming to aggressive behaviour was r ¼ 0.01."			2																						[{'start': 579, 'end': 587, 'span': 'relating', 'annotation': 'Correlation'}]	[]	[]
5eaf1c50f3540c614eb973a5	test_question_testing_No mention of a relation	<b>Reported Finding:</b> Exposure to traffic noise at the office increases stress levels. This is a test question, please select No mention of a relation. Do not mark any words or phrases.				1																					[]	[]	[]
5eaf1c50f3540c614eb973a5	test_question_testing_Explicitly states: no relation	<b>Reported Finding:</b> Exposure to traffic noise at the office increases stress levels. This is a test question, please select Explicitly states: no relation. Do not mark any words or phrases.					4																				[]	[]	[]
5eaf1c50f3540c614eb973a5	Biology_tweet_173_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Uh oh.  instant #ramen linked to #metabolic syndrome.  ""><b>Finding:</b></span> Uh oh.  instant #ramen linked to #metabolic syndrome.  "			2																						[{'start': 260, 'end': 269, 'span': 'linked to', 'annotation': 'Correlation'}]	[]	[]
5eaf1c50f3540c614eb973a5	Biology_tweet_227_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Trade offs in marine protection: Higher #lobster numbers in a #MarineReserve reduced other crustacean species  ""><b>Finding:</b></span> Trade offs in marine protection: Higher #lobster numbers in a #MarineReserve reduced other crustacean species  "		3																							[]	[{'start': 369, 'end': 378, 'span': ' reduced ', 'annotation': 'Causation'}]	[]
5eaf1c50f3540c614eb973a5	Biology_77_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""The study proposes that the light-stimulated production of SIK1 in turn switches off the molecular pathway that feeds into the clock mechanism, thereby halting the shifting response of the biological clock,"" the researchers wrote. Overall, the researchers found that the SIK1 protein delays the body clock's shifting response to time changes, and therefore causes complications for travelers and shift workers. ""It would appear that SIK1 plays a common role in our circadian clocks found throughout our body, and working as a hand-brake on our ability to shift our biorhythms and adjust to new time zones, whether these are real or artificial, such as those produced during shift work schedules,"" said Duffield.""><b>Finding:</b></span> Overall, the researchers found that the SIK1 protein delays the body clock's shifting response to time changes, and therefore causes complications for travelers and shift workers."		3																							[]	[{'start': 1026, 'end': 1034, 'span': ' delays ', 'annotation': 'Causation'}]	[]
5eaf1c50f3540c614eb973a5	Biology_tweet_173_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The 2 major dietary patterns were associated with distinct cardiometabolic risk factors. The consumption of instant noodles was associated with increased prevalence of metabolic syndrome in women, independent of major dietary patterns. The prevalence of overweight in the adult population increased from 26% in 1998 to 32% in 2007 (1) and that of metabolic syndrome in the adult population increased from 25% to 31% in the same time period .""><b>Finding:</b></span> The consumption of instant noodles was associated with increased prevalence of metabolic syndrome in women, independent of major dietary patterns."			2																						[{'start': 663, 'end': 679, 'span': 'associated with ', 'annotation': 'Correlation'}]	[]	[]
5eaf1c50f3540c614eb973a5	Biology_55_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: In Przybylski and Weinstein's review of prior literature, the two researchers strongly argue that earlier research is beset with such problems. ""We found adolescents were not more or less likely to engage in aggressive or prosocial behaviours as a function of the amount of time they devoted to playing violent games,"" they report. Przybylski and Weinstein add, ""This pattern of findings further suggests that links reported in the literature might be influenced by publication bias, selective reporting, or an artefact of unobserved or hidden moderators.""""><b>Finding:</b></span> ""We found adolescents were not more or less likely to engage in aggressive or prosocial behaviours as a function of the amount of time they devoted to playing violent games,"" they report."					4																				[]	[]	[{'start': 895, 'end': 928, 'span': 'not more or less likely to engage', 'annotation': 'Explicit mentions of no relation'}]
5eaf1c50f3540c614eb973a5	Biology_tweet_227_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Interestingly, catches of adult lobsters were inversely correlated with those of juvenile lobsters, brown crabs, and velvet crabs, which may be evidence of competitive displacement and/or predation. Our findings provide evidence that temperate marine reserves can deliver fisheries and conservation benefits, and highlight the importance of investigating multispecies interactions, as the recovery of some species can have knock-on effects on others. If populations are to benefit from the protection afforded by MPAs, it is necessary that a number of individuals spend a substantial part of their lives within their boundaries .""><b>Finding:</b></span> Our findings provide evidence that temperate marine reserves can deliver fisheries and conservation benefits, and highlight the importance of investigating multispecies interactions, as the recovery of some species can have knock-on effects on others."		3																							[]	[{'start': 873, 'end': 884, 'span': 'can deliver', 'annotation': 'Causation'}]	[]
5eaf1c50f3540c614eb973a5	Causality Examples.html	Causality Examples	I carefully went over the examples and the instructions.:::Yes																								[]	[]	[]
5eaf1c50f3540c614eb973a5	Biology_108_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: ""Our efforts to model the adult form of SMA were successful,"" says Kentaro Sahashi, M.D., Ph.D., a postdoctoral researcher and neurologist who is first author of the team's new paper. ""We observed delayed onset of motor neuron dysfunction; we noted also that SMN2 mis-splicing increases during the late stages of SMA, likely accelerating its progression in the body. We noted, importantly, marked liver and heart pathologies that were related to SMA's progression in adults.""""><b>Finding:</b></span> ""We observed delayed onset of motor neuron dysfunction; we noted also that SMN2 mis-splicing increases during the late stages of SMA, likely accelerating its progression in the body."				1																					[]	[]	[]
5eaf1c50f3540c614eb973a5	Consent.html	Consent						I have read and understood the instructions.:::Yes	I have read and understood the content warning.:::Yes	I want to participate in this research and continue with the study.:::Yes																	[]	[]	[]
5eaf1c50f3540c614eb973a5	Biology_77_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Critically, we show that knockdown of Sik1 within the SCN results in extended light-induced phase shifts and an enhanced rate of re-entrainment to an advanced LD cycle. As SIK1 acts to suppress the effects of light on the clock, this pathway provides a pharmacological target for the treatment of disturbed circadian rhythms, including jet lag, shift-work, and illnesses that disturb circadian timing. Surprisingly, the majority (81%, 436 genes) of transcripts were downregulated in response to light, with a smaller number of genes showing upregulation (19%, 100 genes).""><b>Finding:</b></span> As SIK1 acts to suppress the effects of light on the clock, this pathway provides a pharmacological target for the treatment of disturbed circadian rhythms, including jet lag, shift-work, and illnesses that disturb circadian timing."				1																					[]	[]	[]
5eaf1c50f3540c614eb973a5	Biology_230_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: CIN-1 S bed bugs are highly resistant to deltamethrin, with a high topical dose leading to no mortality. The P450s or Abc8 and Abc9 knockdown in pyrethroid resistant CIN-1 S bed bugs showed a consistent increase in their susceptibility to bcyfluthrin compared with control bed bugs injected with malE dsRNA (Fig. In contrast, there was no significant difference in the susceptibility to b-cyfluthrin between cuticular proteins knockdown and control bed bugs (Fig.""><b>Finding:</b></span> The P450s or Abc8 and Abc9 knockdown in pyrethroid resistant CIN-1 S bed bugs showed a consistent increase in their susceptibility to bcyfluthrin compared with control bed bugs injected with malE dsRNA (Fig."		3																							[]	[{'start': 724, 'end': 752, 'span': 'showed a consistent increase', 'annotation': 'Causation'}]	[]
5eaf1c50f3540c614eb973a5	Biology_230_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Sometimes, in the face of chemical and genetic trickery, brute force turns out to work best. SOURCE: Zhu et al. ""Bed bugs evolved unique adaptive strategy to resist pyrethroid insecticides.""""><b>Finding:</b></span> ""Bed bugs evolved unique adaptive strategy to resist pyrethroid insecticides."""				1																					[]	[]	[]
5eaf1c50f3540c614eb973a5	Biology_108_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: We found that ICV-administered ASO phenocopies adult-onset SMA. SMN2 mis-splicing was exacerbated during late-stage disease, which should accelerate the decline. In addition, systemically administered exon-skipping ASO also affected survival, resulting in striking liver and heart lesions, and the combination of central and peripheral administration exacerbated the pathology.""><b>Finding:</b></span> SMN2 mis-splicing was exacerbated during late-stage disease, which should accelerate the decline."				1																					[]	[]	[]
614324d428b2dd34dce610a5	Biology_tweet_190_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: This work shows that mitochondria can regulate complex whole-body physiological responses, impacting stress perception at the cellular and organismal levels. We show that mitochondrial dysfunctions altered the hypothalamicpituitary-adrenal axis, sympathetic adrenal-medullary activation and catecholamine levels, the inflammatory cytokine IL-6, circulating metabolites, and hippocampal gene expression responses to stress. Each mitochondrial defect generated a distinct whole-body stressresponse signature.""><b>Finding:</b></span> We show that mitochondrial dysfunctions altered the hypothalamicpituitary-adrenal axis, sympathetic adrenal-medullary activation and catecholamine levels, the inflammatory cytokine IL-6, circulating metabolites, and hippocampal gene expression responses to stress."		3																							[]	[{'start': 702, 'end': 953, 'span': 'mitochondrial dysfunctions altered the hypothalamicpituitary-adrenal axis, sympathetic adrenal-medullary activation and catecholamine levels, the inflammatory cytokine IL-6, circulating metabolites, and hippocampal gene expression responses to stress.', 'annotation': 'Causation'}]	[]
614324d428b2dd34dce610a5	Experience.html	Experience									4						3						2				[]	[]	[]
614324d428b2dd34dce610a5	Biology_tweet_121_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Our work reveals that exosomes released from the ischemic heart are in fact mediating the systemic response of BM PCs to the site of injury. These observations are compelling, as circulating myo-miRs are not only a bio-marker, but also a functional constituent of the intricate crosstalk between ischemic heart and the remote BM organ. In this study we found exosomes mediate transfer of myo-miRs to BM.""><b>Finding:</b></span> These observations are compelling, as circulating myo-miRs are not only a bio-marker, but also a functional constituent of the intricate crosstalk between ischemic heart and the remote BM organ."				1																					[]	[]	[]
614324d428b2dd34dce610a5	test_question_testing_Causation	<b>Reported Finding:</b> Exposure to traffic noise at the office increases stress levels. This is a test question, please select Causation. Do not mark any words or phrases.		3																							[]	[]	[]
614324d428b2dd34dce610a5	Biology_404_p	"<span id=""hover_text_paper"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: Targeted deletion of Ksr2 leads to obesity in mice, suggesting a role in energy homeostasis. We identified multiple rare variants in KSR2 that disrupt signaling through the Raf-MEK-ERK pathway and impair cellular fatty acid oxidation and glucose oxidation in transfected cells; effects that can be ameliorated by the commonly prescribed antidiabetic drug, metformin. These data establish KSR2 as an important regulator of energy intake, energy expenditure, and substrate utilization in humans.""><b>Finding:</b></span> We identified multiple rare variants in KSR2 that disrupt signaling through the Raf-MEK-ERK pathway and impair cellular fatty acid oxidation and glucose oxidation in transfected cells; effects that can be ameliorated by the commonly prescribed antidiabetic drug, metformin."		3																							[]	[{'start': 721, 'end': 744, 'span': 'that disrupt signaling ', 'annotation': 'Causation'}]	[]
614324d428b2dd34dce610a5	Biology_113_r	"<span id=""hover_text_news"" data-toggle=""tooltip"" data-html=""true"" data-placement=""bottom"" title=""Context: The delay, the authors said, may be due to difficulties in the infant acquiring a species of bifidobacteria that is geared toward consuming the specific milk sugar delivered by the mother. advertisement

The researchers determined that more infants fed by secretor mothers had high levels of bifidobacteria -- 60 percent of infants versus 37.5 percent at day 6 and 80 percent versus 50 percent at day 120 -- and that infants who had more bifidobacteria had lower amounts of milk sugars left over and higher amounts of lactate in their feces. ""The types and levels of bacteria encountered by infants in developing countries is different from the types and levels of bacteria encountered by the babies in our UC Davis cohort, and that might account for some of the differences,"" he said.""><b>Finding:</b></span> advertisement

The researchers determined that more infants fed by secretor mothers had high levels of bifidobacteria -- 60 percent of infants versus 37.5 percent at day 6 and 80 percent versus 50 percent at day 120 -- and that infants who had more bifidobacteria had lower amounts of milk sugars left over and higher amounts of lactate in their feces."		3																							[]	[{'start': 1074, 'end': 1090, 'span': 'had high levels ', 'annotation': 'Causation'}]	[]
